plz;supermarkt;adresse
23611;Famila;Sereetzer Feld 1
23617;Rewe;Lohstraße 178
23617;Aldi;Rathausmarkt 3b
23617;Rewe;Segeberger Straße 34-36
23619;Junges Gemüse Die Gärtnerei am Redderhof;Willendorf 18
23623;Rewe;Bökenbarg 4
23623;Lidl;Lübecker Straße 2
23623;Penny;Am Spannbrook 6
23626;ALDI;Rosenstraße 1
23626;Rewe;Rosenstraße 1
23627;MARKANT;Grönauer Heide 2
23627;"Dorfladen ""Die Alte Meierei""";Hauptstraße 5
23669;Edeka Schulz;Passage Kurpromenade 
23683;Rewe;Hamburger Ring 5
23683;Mehrblick Bioladen & Bistro;Strandallee 5
23683;Penny;Hamburger Ring 
23683;Aldi;Seestraße 63
23683;Rewe;Waldweg 2b
23684;Netto Marken-Discount;Ahrensböker Straße 7
23689;Edeka;Zum Grellberg 1a
23701;Aldi Nord;Johann-Specht-Straße 5a
23701;Aldi Nord;Plöner Landstraße 8-10
23701;Rewe;Industriestraße 5
23701;Lidl;Bürgermeister-Steenbock-Straße 22-24
23701;NETTO;Bürgermeister-Steenbock-Straße 2
23701;Syrische & Arabische Lebensmittel;Lübecker Straße 24
23701;Famila;Plöner Landstraße 8-10
23701;Edeka (A.Ley);Freischützstraße 4
23701;Lidl;Plöner Straße 9
23714;Penny;Rosenstraße 34-36
23714;Markant;Bahnhofstraße 40-42
23714;Rewe;Bahnhofstraße 61-63
23714;Aldi;Lütjenburger Straße 1
23730;Nahkauf;Wiesenstraße 2
23730;Nahkauf;Am Markt 10
23730;Rewe;Sandberger Weg 88
23730;Rewe;Sierksdorfer Straße 8
23730;Aldi Nord;Rettiner Weg 77
23730;Famila;Rettiner Weg 77
23730;Netto Marken-Discount;Oldenburger Straße 26-28
23730;Lidl;Oldenburger Straße 34
23730;Aldi Nord;Sierksdorfer Straße 19
23730;Rewe;Rosengarten 6
23730;Lidl;Eutiner Straße 71
23730;Dit & Dat;Am Markt 12
23738;Edeka;Eutiner Straße 11
23738;Aldi;Dieselstraße 4
23738;Rewe;Dieselstraße 6
23738;Penny-Markt;Bäderstraße 17
23738;Lidl;Lübecker Straße 
23743;Rewe;Theodor-Klinkforth-Straße 13
23743;Netto;Neustädter Straße 12
23743;EDEKA;Wicheldorfstraße 12
23744;EDEKA Böckmann;Bungsbergstraße 4
23746;nahkauf Schlüter;Kirschenallee 2a
23747;Kaufhaus Puck;Seestraße 29
23747;Strand-Spar;An der Strandpromenade 28
23749;Aldi;Bürgermeister-Höppner-Straße 1
23749;Edeka Michael Weinberg;Bürgermeister-Höppner-Straße 1 a
23758;Netto;Holsteiner Straße 2
23758;Rewe;Kieler Chaussee 4a
23758;Edeka;Göhler Straße 7
23758;Famila;Am Voßberg 1
23758;Lidl;Am Voßberg 3
23758;Aldi;Am Voßberg 6
23758;Aldi;Göhler Straße 5
23758;Penny;Kieler Chaussee 6
23769;Ihr Kaufladen (iK);Am Yachthafen 20
23769;Rewe;Landkirchener Weg 2
23769;Penny;Landkirchener Weg 34
23769;Aldi Nord;Ehlerskamp 8
23769;EDEKA;Landkirchener Weg 57
23769;Aldi Nord;Alte Bahnhofstraße 23
23769;Edeka Jens;Am Markt 27
23769;Edeka;Alte Bahnhofstraße 21
23769;Netto;Industriestraße 2
23774;ALDI Nord;Höhenweg 2
23774;Netto Marken-Discount;Am Kalkofen 6
23774;EDEKA Jens;Höhenweg 4
23774;Aldi;Tollbrettkoppel 4
23774;Calle;Tollbrettkoppel 8
23774;Lidl;Sundweg 113
23774;Rewe;Am Strande 7b
23774;Famila;Industriestraße 3
23775;Edeka Jens;Strandstraße 1b
23795;Grünschnabel;Oldesloer Straße 18
23795;Nahkauf;Glindenberg 3
23795;Kaufland;Bahnhofstraße 7
23795;Rewe;Kurhausstraße 22
23795;Famila;Eutiner Straße $%
23795;Aldi;Eutiner Straße 24
23795;Lidl;Lindhofstraße 14
23795;Netto;Ziegelstraße 107
23795;Netto Marken-Discount;Ziegelstraße 115
23812;Netto;Neumünsterstraße 2
23812;Edeka;Neumünsterstraße 6b
23812;Aldi;Neumünsterstraße 6c
23816;Rewe;Neversdorfer Straße 1
23816;Penny;Hamburger Straße 41
23843;Penny;Lübecker Straße 111
23843;Penny;Besttorstraße 4-5
23843;denn's Biomarkt;Lübecker Straße 23-25
23843;Rewe;Lübecker Straße 23-25
23843;Kaufland;Ratzeburger Straße 15-19
23843;Lidl;Industriestraße 7
23843;Famila;Lily-Braun-Straße 24
23843;Aldi;Lily-Braun-Straße 18
23843;Rewe;Hamburger Straße 134
23843;Netto;Ratzeburger Straße 11
23843;ALDI Bad Oldesloe;Helene-Stöcker-Straße 1
23845;Netto;Segeberger Straße 59
23845;Hof Burmeister;Hauptstraße 1
23858;Markant;Bahnhofstraße 6 - 8
23858;Penny;Feldstraße 1
23858;Famila;Barnitzer Straße 1-7
23858;Aldi;Barnitzer Straße 1-7
23858;Lidl;Hamburger Chaussee 15
23863;Harwardt;Kayhuder Straße 2
23866;Rewe;Segeberger Straße 26
23866;Lidl;Segeberger Straße 20
23866;ALDI Nahe;Brünskamp 1
23867;EDEKA Wittorf;Neuer Weg 14
23869;Markant;Bundesstraße 
23869;Aldi;Bundesstraße 7
23879;famila;Grambeker Weg 101
23879;EDEKA Müller;Hauptstraße 21
23879;Netto Marken-Discount;Ratzeburger Straße 38
23879;Aldi;Ratzeburger Straße 36
23879;Marktkauf;Industriestraße 1
23879;Aldi Nord;Grambeker Weg 95
23879;Norma;Wasserkrüger Weg 127
23879;Penny;Grambeker Weg 91
23879;Lidl;Grambeker Weg 55-57
23879;Edeka Süllau;Grambeker Weg 45
23881;NETTO Breitenfelde;Kranichweg 1
23896;nah&frisch;Kurzenlandskoppel 5
23909;Gernet Frischemarkt;Schmilauer Straße 108
23909;Jawoll, Sonderposten;Heinrich-Hertz-Straße 18 / 20
23909;Marktkauf Süllau;Am Viehmarkt 10
23909;Penny;Zittschower Weg 1 - 3
23919;"Penny ""Berkenthin""";Oldesloer Straße 44
24103;Rewe City;Knooper Weg 41-43
24103;Edeka;Sophienblatt 20
24103;Erdkorn;Hopfenstraße 63
24103;Edeka Holstenstraße;Holstenstraße 55-57
24103;Erdkorn;Schloßstraße 2
24105;Nah & Frisch;Holtenauer Straße 111
24105;Schlemmermarkt Freund;Holtenauer Straße 70-72
24105;Aldi;Preußerstraße 1-9
24105;Reformhaus Hintz;Holtenauer Straße 60
24105;Aldi;Droysenstraße 5
24105;Rewe;Holtenauer Straße 71
24105;Penny Belvedere;Holtenauer Straße 234
24106;Famila;Prinz-Heinrich-Straße 20
24106;Rewe;Projensdorfer Straße 148
24106;ALDI;Prinz-Heinrich-Straße 20
24106;ALDI;Torfmoorkamp 10
24106;Netto Marken-Discount;Gurlittstraße 5-8
24107;Rewe;Eckernförder Straße 362
24107;ALDI;Steekberg 1
24107;EDEKA;Dr.-Hell-Straße 1
24109;Famila;Kurt-Schumacher-Platz 
24109;Mix Markt 119 OHG;Jütlandring 22
24109;Aldi;Kurt-Schumacher-Platz 4
24109;Kaufland;Skandinaviendamm 299
24109;Penny Mettenhof;Kurt-Schumacher-Platz 13
24109;Rewe;Göteborgring 3
24111;Lidl;Rendsburger Landstraße 360
24113;;Rendsburger Landstraße 240
24113;Penny Am Russee;Rendsburger Landstraße 246
24113;NETTO;Rendsburger Landstraße 206
24113;Lidl;Hamburger Landstraße 110
24113;Aldi;Stormarnstraße 31
24113;Lidl;Stormarnstraße 33
24113;Metro Gastro;Tonberg 7
24113;famila Kiel-Russee;Seekoppelweg 2
24113;Nahkauf;Hamburger Chaussee 114
24113;Penny;Hamburger Chaussee 15
24114;Denn's Biomarkt;Saarbrückenstraße 143
24114;Food Plaza;Sophienblatt 48b
24114;Rewe;Kirchhofallee 66a
24114;Lidl;Kirchhofallee 68
24114;Rewe City;Sophienblatt 25
24116;ALDI;Eichkamp 24
24116;Sultan-Markt;Eckernförder Straße 85
24116;Der BioHof;Wörthstraße 24-26
24116;Rewe;Weißenburgstraße 15
24116;Rewe;Gutenbergstraße 77
24118;soto's Mercado;Knooper Weg 185
24119;Rewe;Suchsdorfer Weg 7
24143;Rewe;Karlstal 27a
24143;Rewe;Sörensenstraße 4-10
24143;Lidl;Werftstraße 197
24143;Aldi;Theodor-Heuss-Ring 136
24143;Penny;Werftstraße 247
24145;famila;Grot Steenbusch 35
24145;Aldi;Grot Steenbusch 35
24145;Penny;Segeberger Landstraße 50
24146;Rewe;Landskroner Weg 2
24146;Netto;Preetzer Chaussee 234
24147;Lidl;Preetzer Straße 306
24147;Reformhaus Engelhardt;Andreas-Hofer-Platz 2
24147;Aldi;Villacher Straße 8
24147;Famila;Preetzer Straße 298
24148;Aldi;Ostring 232
24148;Netto Marken-Discount;Schönberger Straße 44
24148;Lidl;Wischhofstraße 80
24148;Rewe;Schönberger Straße 133
24148;Aldi;Philipp-Reis-Weg 4
24148;Markant;Philipp-Reis-Weg 2
24149;Aldi;Schönkirchener Straße 80b
24149;famila;Schönkirchener Straße 80
24149;Kornblume;An der Holsatiamühle 7
24149;Obolus;Hertzstraße 75
24149;Rewe;Langer Rehm 22
24159;Ihr Kaufmann;Fliegender Holländer 
24159;Brennessel;Hof Pries 
24159;Rewe;An der Schanze 40
24159;ALDI;Brauner Berg 4
24159;Rewe;Richthofenstraße 57
24159;Rewe;Langenfelde 126a
24159;Lidl;Falckensteiner Straße 40
24161;Famila;Altenholzer Straße 11
24161;EDEKA Johannsen;Ostpreußenplatz 3
24161;Aldi;Erdbeerfeld 2
24161;Edeka;Erdbeerfeld 4
24211;ALDI Nord;Hufenweg 24
24211;Edeka;Kieler Straße 29
24211;;Wakendorfer Straße 73
24211;Rewe;Hufenweg 24
24211;NETTO;Garnkorb 8
24211;Netto;Kieler Straße 31
24211;Rewe;Markt 8
24211;Edeka Scheich;Plöner Landstraße 18
24214;Krümet;Eckernförder Chaussee 7-9
24214;Edeka Johannsen;Ravensberg 2
24214;Rewe;Süderstraße 4
24214;Penny;Am Markt 10
24214;ALDI;Ravensberg 4c
24214;Lidl;Ravensberg 14-16
24217;Lidl;Große Mühlenstraße 51
24217;Aldi;Kuhlenkamp 1c
24217;Edeka Alpen;Mittelweg 107
24217;Frischemarkt Alpen;Käptn's Gang 3
24217;Schöner Schenken;Bahnhofstraße 1
24217;Alpen;Verwellengrund 1
24217;Rewe;Kuhlenkamp 1c
24217;SB-Markt Glüsing;Deichweg 46
24217;Edeka Alpen;Bahnhofstraße 20
24217;Markant;Eichkamp 9
24217;Penny;Kuhlenkamp 2a
24220;Aldi;Lise-Meitner-Straße 3
24220;EDEKA Albrechsen;Dorfstraße 14
24222;Rewe;Klingenbergstraße 64
24223;Jawoll;Carl-Zeiss-Straße 1-13
24223;Real;Mergenthalerstraße 13-21
24223;Aldi;Lütjenburger Straße 2
24223;Lidl;Mergenthalerstraße 24
24223;Rewe;Rönner Weg 2b
24223;Aldi;Carl-Zeiss-Straße 2-10
24226;Rewe;Am Schmiedeplatz 2
24226;EDEKA Ristow Heikendorf;Tobringer 4
24226;ALDI Heikendorf;Tobringer 2
24229;Markant;Scharnhagener Straße 3-5
24232;Rewe;Pahlblöken 2
24235;Rewe;Dellenberg 20
24235;Aldi;Bullbrücke 1
24235;Edeka Alpen;Bullbrücke 4
24238;Edeka;Kieler Straße 2
24238;Aldi;Kieler Straße 5
24242;Edeka Schmoock;Hasselrader Weg 2
24245;Marktreff;Am alten Bahnhof 1
24248;Neukauf Ristow;Heikendorfer Weg 18
24306;Aldi;Lütjenburger Straße 9
24306;Lidl;Bullenwarder 1
24306;Rewe;Markt 31
24306;Edeka;Fünf-Seen-Allee 21
24321;Rewe;Gildenplatz 4
24321;Penny;Schönberger Straße 3
24321;Aldi;Königsberger Straße 7
24321;LIDL;Königsberger Straße 1
24321;Wurzelwerk Bioladen;Markttwiete 6
24326;Aldi;Plöner Chaussee 74
24326;Edeka;Langenrade 2a
24340;Netto;Schulweg 7
24340;Rewe;Sauersgang 1
24340;Famila;Rendsburger Straße 119
24340;Aldi;Rendsburger Straße 119
24340;Biomarkt Eckernförde;Langebrückstraße 20
24340;Orient Supermarket;Sauersgang 4
24340;Steffenhagen Abholmarkt;Goldammerweg 3
24340;Lidl;Ostlandstraße 98
24340;Aldi;Ostlandstraße 99
24340;Markant;Ostlandstraße 101
24340;Edeka;Sauerstraße 1
24340;Lidl;Sauerstraße 6a
24340;Rewe;Kakabellenweg 11
24351;Edeka Hartmann;Gartenstraße 6
24354;Unser Dorfladen;Schwansenweg 4
24354;Edeka Reimer;Dorfstraße 57
24357;Edeka Paasch;Hauptstraße 17
24376;EDEKA E center Kappeln;Wassermühlenstraße 
24376;Prinz;Querstraße 2
24376;Edeka Hafenkante;Hafenstraße 10
24376;Penny;Ziegeleiweg 2
24376;Aldi;Mehlbydiek 8
24376;Rewe;Mehlbydiek 2
24376;Jawoll;Bernard-Liening-Straße 18
24376;Lidl;Bernard-Liening-Straße 13
24376;nah & frisch Sörensen;Querstraße 23-25
24376;Aldi;Glücksburger Straße 3
24376;Rewe;Glücksburger Straße 3
24376;Mohr Versicherungsschäden;Am Südhafen 5
24392;ALDI;Südertoft 2
24392;Edeka Neukauf Matzen;Südertoft 2
24392;Lidl;Schleswiger Straße 5
24392;Rewe;Große Straße 10
24534;Aldi Nord;Goethestraße 11
24534;Edeka Meyer;Goethestraße 13
24534;Edeka;Hansaring 156
24534;Netto Marken-Discount;Wasbeker Straße 130
24534;Bio-Supermarkt Trockenbrodt;Altonaer Straße 3
24534;Rewe City;Gänsemarkt 1
24536;E aktiv markt Grümmer;Wilhelminenstraße 42
24536;Aldi Nord;Baeyerstraße 1
24536;Edeka;Baeyerstraße 1
24536;E aktiv markt Grümmer Lebensmittelmärkte Einfeld;Roschdohler Weg 12
24536;Lidl;Stoverweg 2
24536;"Penny ""Am Wasserturm""";Gutenbergstraße 47
24536;Netto Marken-Discount;Kieler Straße 162
24537;Aldi Nord;Wasbeker Straße 330
24537;Penny;Ehndorfer Straße 197
24537;Lidl;Wasbeker Straße 335
24537;Aldi Nord;Rendsburger Straße 140
24539;Famila;Haart 224
24539;Aldi Nord;Haart 224
24539;Edeka;Grüner Weg 11
24539;Penny;Padenstedter Landstraße 2
24539;Aldi Nord;Altonaer Straße 164
24539;Lidl;Fehmarnstraße 13
24539;"Edeka ""Grätsch""";Mühlenstraße 2-6
24558;NETTO;Norderstedter Straße 120
24558;Kaufland;Hamburger Straße 8
24558;denn's Biomarkt;Gutenbergstraße 4
24558;Edeka Nils Lull;Hamburger Straße 87
24558;Lidl;Am Bahnbogen 8
24558;Aldi;Dammstücken 25-27
24558;Edeka Oertwig;Dammstücken 29-33
24558;real,-;Gutenbergstraße 7
24558;Penny;Gutenbergstraße 9
24558;Rewe;Wilstedter Straße 63
24558;Penny;Alte Hofstelle 1
24558;Aldi;Gutenbergstraße 4
24568;Erdkorn;Hüttmannstraße 9
24568;Lidl;Flottkamp 8
24568;famila;Kisdorfer Weg 13
24568;Rewe;Hamburger Straße 53-59
24568;Aldi;Funkenberg 1
24576;Edeka Dirk Möller;Hamburger Straße 53
24576;Rewe;Landweg 15-17
24582;Netto Marken-Discount;Eiderstede 1
24582;Aldi;Mühlenstraße 12
24582;Rewe;Mühlenstraße 12
24582;Edeka;Bahnhofstraße 29-31
24582;Lidl;Kieler Straße 48
24589;ALDI;Niedernstraße 9c
24589;EDEKA;Niedernstraße 9a
24589;LIDL;Lohkamp 33
24589;famila Nortorf;Timmasper Weg 4
24589;PENNY;Lohkamp 23
24589;Netto;Galgenbergsweg 4
24594;Netto;Am Bahnhof 4
24594;Lidl;Itzehoer Straße 42
24594;Aldi Nord;Am Markt 2
24594;Rewe;Itzehoer Straße 36
24594;Edeka;Am Markt 1
24598;Aldi;Neumünsterstraße 49b
24598;Edeka Grümmer;Neumünsterstraße 49a
24598;Netto Marken-Discount;Neumünsterstraße 113
24601;Rewe;Bornhöveder Landstraße 2
24610;Famila;Gablonzer Straße 1-2
24610;Netto;Erfurter Straße 3
24610;Penny;Erfurter Straße 4
24613;Markant;Hauptstraße 10a
24613;Hofladen;Zum Sportplatz 12
24616;E aktiv markt Biss;Dorfstraße 1a
24619;Lidl;Kieler Tor 
24619;Aldi;Kieler Tor 42
24629;Aldi;Henstedter Straße 26
24629;Edeka Domke;Henstedter Straße 28
24631;Ollis Getränkemarkt;Kieler Straße 10
24641;EDEKA Tim-Tobias-Kramp;Kalte Weide 22
24647;Ihr Kaufmann;Lindenstraße 22
24768;Famila;Friedrichstädter Straße 55
24768;Aldi;Friedrichstädter Straße 57a
24768;Penny Markt;Eckernförder Straße 48-50
24768;Famila;Kreishafenstraße 4-6
24768;Lidl;Kreishafenstraße 5
24768;Aldi Nord;Kreishafenstraße 2
24768;EDEKA Hauschildt;Konrad-Adenauer-Straße 1
24768;Sonderposten-Abholmarkt Jawoll;Friedrichstädter Straße 80-84
24768;Aldi Nord;Konrad-Adenauer-Straße 3
24768;Penny;Alte Kieler Landstraße 22
24782;Rewe;Am Ahlmannkai 2
24782;Nachbars Garten;Hollerstraße 47
24783;Edeka;Kieler Straße 98a
24783;Lidl;August-Borsig-Straße 1
24783;Markant Nah + Frisch Bosholm;Dorfstraße 31
24783;Aldi Nord;Kieler Straße 21
24784;Rewe;Am Busbahnhof 7
24784;Aldi;Am Busbahnhof 20
24784;Netto;Am Busbahnhof 10
24787;Aldi;Disshorn 4
24787;EDEKA Frischemarkt Schlüter;Disshorn 3
24790;Edeka Martin Hoof;Kieler Straße 17 A
24796;Edeka;Kieler Straße 2
24799;Regionaler Marktplatz;Dorfstraße 44-48
24802;Edeka;Dorfstraße 38
24805;Frischemarkt Ohl;Dorfstraße 9
24806;Nahkauf;Bahnhofstraße 10
24808;EDEKA Aktiv Markt Plikat;Bankstraße 8
24816;Frischemarkt Thomsen;Günther-Fielmann-Platz 1
24816;Edeka;Dörpstraat 
24819;Nahkauf;Hauptstraße 48
24837;Aldi;Hans-Jürgen-Klinker-Straße 1
24837;Rewe;Hans-Jürgen-Klinker-Straße 2
24837;Edeka Christensen;Stadtweg 39
24837;Real;Flensburger Straße 61
24837;Naturmarkt Schleswig;Königstraße 20
24837;Netto;Königstraße 23
24837;Edeka;Friedrichstraße 19
24837;Lidl;Lattenkamp 2
24837;Aldi;Georg-Pfingsten-Weg 5
24837;Rewe;Stadtfeld 29
24837;Rewe;Gallberg 20
24837;Rewe;Georg-Pfingsten-Weg 3
24837;Famila;Friedrich-Ebert-Straße 3
24848;Rewe;Theodor-Storm-Allee 8
24848;Edeka;Industriestraße 1a
24848;Aldi Nord;Industriestraße 1
24850;Krümet Sonderpostenmarkt;Dorfstraße 13
24850;Netto;Husumer Straße 2-4
24852;Rewe;Hauptstraße 55
24855;REWE Schmidt;Große Straße 29
24857;ALDI;Mühlenberg 18a
24860;Aldi;Hans-Christophersen-Allee 2
24860;Lidl;Pöttacker 2
24860;Edeka;Schulstraße 4
24864;Markttreff Brodersby;Schleidörfer Straße 11
24866;E aktiv markt Fick;Schulstraße 2
24887;Edeka;Tükeslih 4
24887;Aldi;Tükeslih 2
24887;Penny;Hauptstraße 1a
24896;Nahkauf;Treenestraße 23
24937;Edeka;Angelburger Straße 10
24937;Netto;Mathildenstraße 28-30
24937;Rewe;Holm 57-61
24937;biosager;Heinrichstraße 12-14
24937;Netto;Holm 57-61
24937;Aldi;Friesische Straße 150
24937;Lidl;Friesische Straße 171-191
24937;Rewe;Friesische Straße 150
24937;denn's Biomarkt;Marienallee 64
24939;Grænse-Discount;Steinstraße 13
24939;Al Noor Markt;Neustadt 67-69
24939;Aldi;Apenrader Straße 111
24939;Calle Flensborg;Apenrader Straße 109
24939;Lidl;Neustadt 23
24939;Rewe;Waldstraße 24
24939;Rewe;Apenrader Straße 48-52
24939;Købmandsgården Flensborg;Feldstraße 6-8
24941;Aldi;Holzkrugweg 2
24941;Krümet;Am Sophienhof 2
24941;Penny;Holzkrugweg 4-6
24941;Netto;Alter Husumer Weg 258
24941;REWE;Ochsenweg 69
24943;Edeka Blask;Adelbylund 5
24943;Rewe;Fichtestraße 9
24943;Rewe;Hochfelder Landstraße 11
24943;Penny;Hochfelder Landstraße 23
24943;REWE;Trögelsbyer Weg 79
24943;Lidl;Merkurstraße 24
24943;Edeka;Engelsbyer Straße 31
24943;Penny;Tilsiter Straße 2-4
24943;Penny;Kappelner Straße 71
24944;Famila;Schottweg 94
24944;Rewe;Marrensdamm 7
24944;Edeka;Fördestraße 70
24944;Aldi Nord;Friedheim 8
24955;Fleggaard;Industrieweg 27
24955;fakta Harrislee;Industrieweg 37
24955;Zur Krone Grenzshop;Ochsenweg 85
24955;Penny;Musbeker Weg 1
24955;Fleggaard;Wassersleben 14
24955;Mix Markt;Holmberg 23
24955;Fleggaard;Wassersleben 36
24960;Edeka;Rathausstraße 8
24963;natura Tarp;Bahnhofstraße 2
24963;Edeka;Stapelholmer Weg 28-30
24963;Lidl;Wanderuper Straße 11
24963;Netto;Stapelholmer Weg 18
24963;Famila;Industriestraße 18
24966;Penny Am Bahnhof;Angelner Straße 1b
24966;Lidl;Tarper Straße 9
24966;Edeka;Bahnhofstraße 40
24969;Edeka;Hauptstraße 2
24969;Netto;Alter Bahndamm 1
24972;Aldi;Meiereistraße 15
24972;Edeka Borowski;Meiereistraße 
24975;nah & frisch Husby;Flensburger Straße 58
24975;Edeka Zander;Hauptstraße 2
24976;Edeka aktiv;Europastraße 82
24977;Edeka Hartwig & Senol;Schwarze Straße 19
24980;E aktiv markt Teske;Hauptstraße 96
24980;Lidl;Osterfeld 2
24980;Aldi Nord;Hauptstraße 96
24983;E aktiv markt Jürgensen;Wiesharder Markt 3
24983;Lidl;Raiffeisenstraße 8
24983;Netto;Raiffeisenstraße 12
24983;Scandinavian Park;Scandinavian-Park 13
24986;Netto;Flensburger Straße 27
24986;Penny;Mühlenstraße 14
24986;Aldi;Hans-Redlefsen-Straße 8
24986;Edeka Detert;Hans-Redlefsen-Straße 6
24988;Nahkauf Petersen;Stapelholmer Weg 74
24991;De Lütte Koopmann;Flensburger Straße 39
24996;Edeka Boehme;Alte Dorfstraße 1
24997;Nah & Frisch Thordsen;Flensburger Straße 15b
24999;Lidl;Birkland 1
24999;Aldi Nord;Birkland 
25335;Reformhaus Engelhardt;Marktstraße 3
25335;Netto Marken-Discount;Adolph-Kolping-Straße 1-3
25335;AK Market;Wedenkamp 11
25335;Aldi;Wedenkamp 9b
25335;Lidl;An der Ost-West-Brücke 1
25335;Rewe;An der Ost-West-Brücke 3
25335;Netto Marken-Discount;Flamweg 138
25336;Netto;Westerstraße 98
25336;Rewe;Westerstraße 34
25336;Penny;Am Eiskeller 26
25336;Edeka Jensen;Meteorstraße 3
25336;Rewe;Dorfstraße 105
25337;E Center A23;Ramskamp 102
25337;Famila;Hans-Böckler-Straße 126
25337;Penny;Adenauerdamm 77
25337;Mix Markt;Hainholzer Damm 21
25337;Aldi;Hainholzer Damm 9A
25337;Aldi;Hans-Böckler-Straße 1A
25337;Lidl;Hamburger Straße 207
25348;Penny;Molenkiekergang 1
25348;Lidl;Nordmarkstraße 12
25348;Edeka neukauf Schönbek;Christian-IV-Straße 23
25348;;Christian-IV-Straße 23
25355;Rewe;Marktstraße 2-10
25355;LIDL;Königstraße 12-14
25355;Edeka;August-Christen-Straße 6
25355;Aldi;Küsterkamp 3
25358;Aldi;Horster Viereck 1
25358;EDEKA Hennings;Horster Viereck 1
25358;Rewe;Am Markt 3
25361;Rewe;Neuenbrooker Straße 37
25364;Edeka;Steinstraße 2
25368;EDEKA Lender;Ringstraße 11
25421;Edeka Meyer's Frischecenter;Saarlandstraße 65
25421;Die Bioquelle;Oeltingsallee 24
25421;Penny;Friedrich-Ebert-Straße 2a
25421;Edeka;Friedrich-Ebert-Straße 38-40
25421;Aldi;Westring 8
25421;Famila;Westring 6
25421;Lidl;Berliner Straße 31
25421;Rewe;Kleiner Reitweg 30
25421;denn's Biomarkt;Elmshorner Straße 68
25421;famila;Flensburger Straße 3
25421;Penny;Richard-Köhn-Straße 2
25421;Aldi;Rellinger Straße 25-27
25421;Netto Marken-Discount;Elmshorner Straße 181
25436;Nahkauf;Klinkerstraße 89
25436;Aldi;Tornescher Hof 1-5
25436;Aldi Nord;Gerberstraße 1
25436;Edeka Horst Ermeling;Gerberstraße 3
25436;Reformhaus;Großer Sand 36
25436;Aldi Nord;Reuterstraße 115
25436;Famila;Großer Sand 96-98
25436;Rewe;Lindenweg 2
25436;Penny;Ohlenhoff 2
25436;Lidl;Ohlenhoff 1
25451;Markant;Feldbehnstraße 35
25451;Nahkauf;Harksheider Weg 107
25451;Rewe;Kieler Straße 55
25451;Netto;Ulzburger Landstraße 406
25451;Nahkauf;Bahnhofstraße 9-11
25462;EDEKA Appel;Krupunder Heide 2a
25462;Aldi;Krupunder Heide 2
25462;Aldi;Grüner Weg 3
25462;Edeka;Hauptstraße 39
25469;Erdkorn;Hauptstraße 32
25469;Aldi;Hartkirchener Chaussee 14
25469;EDEKA Böge;Hauptstraße 37
25469;E aktiv markt Töpfert;Seestraße 161
25474;Rewe;Am Markt 10
25474;EDEKA aktiv Markt;Waldhof 1
25474;Aldi Nord;Waldhof 1
25474;KRÜMET;Kieler Straße 37-39
25474;Netto Marken-Discount;Kieler Straße 17
25479;ALDI;Berliner Damm 1
25479;EDEKA Lätsch;Berliner Damm 7
25488;E aktiv markt Paulsen;Im Sande 2
25497;Marktkauf;Peiner Hag 1
25497;Aldi;Peiner Hag 11-13
25524;Aldi Nord;Lübscher Kamp 4
25524;Kaufland;Rudolf-Diesel-Straße 1
25524;Rewe;Alsenskamp 2
25524;Aldi;Lise-Meitner-Straße 16
25524;Rewe;Edendorfer Straße 35
25524;E-Center Frauen;Rotenbrook 4
25524;Aldi Nord;Rotenbrook 6
25524;Rewe;Lise-Meitner-Straße 16
25541;Lidl;Heisenbergstraße 8-10
25541;E Center Frauen;Kaufhausstraße 1
25541;ALDI;Max-Planck-Straße 1-7
25541;Frischemarkt Frauen;Koogstraße 75 - 81
25548;Aldi Nord;An der Stör 2a
25548;EDEKA Jens Hapke;An der Stör 2d
25548;Lidl;An der Stör 4
25551;Penny;Breite Straße 4
25551;Netto Marken-Discount;Breite Straße 8-10
25551;Aldi Nord;Deutsch-Ordens-Straße 2
25551;Rewe;Breite Straße 18a
25554;Netto Marken-Discount;Klosterhof 27
25554;Pennymarkt;Mühlenstraße 6
25557;Schauen & Kaufen;Westerstraße 35
25557;Rewe;Bahnhofstraße 4
25557;Aldi;Theodor-Storm-Straße 11
25560;ALDI;Bahnhofstraße 23a
25560;Penny;Am Bahnhof 1-3
25563;Edeka;Eken 2
25569;Netto;Dorfstraße 27a
25576;Nahkauf;Dorfstraße 28d
25582;nahkauf;Hauptstraße 18
25596;Netto;Gehrn 15
25596;Edeka;Gehrn 17
25599;Wewelsflether Dörpsloden;Dorfstraße 6
25693;Rewe;Johannßenstraße 17
25693;Netto Marken-Discount;Burger Straße 24
25693;ALDI;Johannßenstraße 19
25704;Penny;Raiffeisenplatz 8
25704;Edeka;Raiffeisenplatz 18
25704;Lidl;Ernst-Günter-Albers-Straße 11-15
25704;Rewe;Heider Straße 33
25704;Netto Marken-Discount;Österstraße 59
25704;Aldi Nord;Raiffeisenplatz 14
25704;Lidl;Altentreptower Straße 2
25709;Rewe;Süderstraße 10-12
25709;ALDI;Königstraße 59
25709;LIDL;Hafenstraße 16-18
25709;Frischemarkt Frauen;Hafenstraße 6
25709;Netto Marken-Discount;Süderstraße 3c
25712;ALDI;Bahnhofstraße 9a
25712;E aktiv markt Kliesow;Bahnhofstraße 9
25715;Nahkauf Bernd Hauschildt;Theeberg 8
25718;Rewe;Koogstraße 67
