plz;supermarkt;adresse
67433;Weinstrassen C&C;Joachim-Meichßner-Straße 2
67434;Lidl;Talstraße 14
67434;Netto City Filiale;Weinstraße 71
67435;Lidl;Haßlocher Straße 55
67435;Wasgau;Gäustraße 3
67454;Real;Hans-Böckler-Straße 20
67454;Reformhaus Tamme;Langgasse 75
67454;Rewe;Lindenstraße 15
67454;Aldi;Moltkestraße 55-63
67454;Edeka;Am Zwerchgraben 3-6
67454;Lidl;Schillerstraße 16
67454;Penny;Pfaffengasse 45
67466;Netto;Hauptstraße 82
67466;SBK;Hauptstraße 31
67468;Regional im Tal;Zwerlenbachstraße 1
67480;Lidl;Luitpoldstraße 78
67480;Sonnenblume Naturkost;Tanzstraße 26
67483;nah und gut Kissel;Staatsstraße 43
67489;Aldi Süd;Staatsstraße 1
67547;Penny;Rheinstraße 31
67547;Aldi Süd;Schönauer Straße 8
67547;denn's Biomarkt;Schönauer Straße 16-18
67547;Asiamarkt Worms;Petersstraße 39
67547;Abone Supermarkt;Mainzer Straße 16-18
67547;Kaufland;Mainzer Straße 150
67547;Kaufland;Schönauer Straße 8
67547;Lidl;Klosterstraße 40
67547;Netto Marken-Discount;Klosterstraße 22b
67547;Aldi Süd;Am Wolfsgraben 60
67547;Lidl;Remeyerhofstraße 7
67549;Mix Markt;Theodor-Heuss-Straße 41a
67549;Edeka Sauer;Alzeyer Straße 242-244
67549;Rewe;Bebelstraße 8
67549;Netto Marken-Discount;Gaustraße 86
67549;Lidl;Alzeyer Straße 23
67549;Billigmarkt;Friedrich-Ebert-Straße 14
67550;Nutzkauf;Wonnegaustraße 53
67550;Rewe;Dr.-Carl-Sonnenschein-Straße 3
67550;Lidl;Dr.-Carl-Sonnenschein-Straße 1
67550;;Wonnegaustraße 53
67551;;Küferstraße 10
67551;Edeka;Pfiffligheimer Straße 7
67551;Penny Weinsheim;Weinsheimer Hauptstraße 118
67551;Netto;Küferstraße 15
67551;Netto;Kolpingstraße 92
67551;Rewe;Kolpingstraße 90
67574;Netto;Wonnegaustraße 2
67574;Wasgau Frischemarkt;Am Ringofen 2
67574;Aldi Süd;Wonnegaustraße 5
67574;Edeka;Backsteinweg 9
67574;Lidl;Wonnegaustraße 6
67583;Aldi;Kurzer Flurweg 1
67586;Netto Marken-Discount;Bahnhofstraße 60
67590;Lidl;Robert-Bosch-Straße 4
67590;Edeka aktiv Markt Wollny;Robert-Bosch-Straße 7
67590;Aldi Süd;Robert-Bosch-Straße 9
67592;Netto Marken-Discount;Alte Straße 15
67593;Netto Marken-Discount;An der Wittgeshohl 9
67593;Rewe;An der Brennerei 2
67593;Penny Markt;Jahnstraße 35
67598;EDEKA;An der Weidenmühle 1
67655;Kaufland;Pariser Straße 123
67655;Netto;Barbarossastraße 58
67655;Aldi Süd;Königstraße 115
67655;Alnatura Bio;Königstraße 123
67655;Lidl;Königstraße 119
67655;Lidl;Augustastraße 60
67655;Penny;Altenwoogstraße 42
67657;Aldi;Mainzer Straße 69
67657;Netto;Gersweilerweg 4
67657;Lidl;Mennonitenstraße 21
67657;Netto;Friedenstraße 96
67657;CC- Großmarkt;Flickerstal 11
67659;Lidl;Vogelwoogstraße 40
67663;Edeka;Zollamtstraße 28
67663;Wasgau;Carl-Euler-Straße 6
67663;Lidl;Kurt-Schumacher-Straße 1
67663;Aldi Süd;Merkurstraße 25
67663;Netto;Carl-Euler-Straße 4
