plz;supermarkt;adresse
12057;Asia Supermarkt;Karl-Marx-Straße 242
12057;Edeka;Sonnenallee 330
12059;Elsenbusch Kiezbauernmarkt;Elsenstraße 52
12099;Bio Company;Tempelhofer Damm 227
12099;E-Center;Tempelhofer Damm 227
12099;Edeka Tempelhofer Damm;Tempelhofer Damm 198
12099;Taste Hellas;Tempelhofer Damm 218
12099;bioso Naturkost und Café;Tempelhofer Damm 209
12099;go asia;Tempelhofer Damm 120
12101;Eurogida;Tempelhofer Damm 2
12101;nah und gut;Werner-Voß-Damm 37
12107;Aldi;Alt-Mariendorf 16
12107;Edeka Mariendorfer Damm;Mariendorfer Damm 186
12107;Edeka Tauernallee;Tauernallee 30-58
12107;Rewe;Großbeerenstraße 54-66
12109;Edeka Prang;Mariendorfer Damm 81
12109;Netto Marken-Discount;Mariendorfer Damm 19
12159;Edeka;Fregestraße 6
12159;Golden Ilakkya Asia;Rheinstraße 16
12159;LPG Biomarkt;Hauptstraße 78
12159;Netto Marken-Discount;Lauterstraße 17-18
12159;Rewe;Rheinstraße 14
12159;denn's Biomarkt;Rheinstraße 60
12161;Asia Kauf;Rheinstraße 24
12161;Bio Company;Bundesallee 88
12161;Bio Grande;Wiesbadener Straße 82
12161;Rewe City;Rheinstraße 30
12161;Rewe Nahkauf Hellmund;Görresstraße 3
12161;Swedish Gourmet;Bundesallee 139
12161;basic;Bundesallee 104–105
12163;Edeka;Schloßstraße 98
12163;Hit Ullrich;Schloßstraße 110
12163;Lidl;Rothenburgstraße 38a
12163;Rewe;Schloßstraße 33-36
12163;Timi;Kieler Straße 4
12163;Vinh-Loi Asien-Supermarkt;Gutsmuthsstraße 23-24
12165;Edeka;Albrechtstraße 3
12165;Siebenkorn;Schützenstraße 9
12167;LPG Biomarkt;Albrechtstraße 33
12167;Nahkauf;Liebenowzeile 29
12167;denn's Biomarkt;Albrechtstraße 16-18
12169;Penny;Steglitzer Damm 20
12169;Reichelt Edeka;Steglitzer Damm 24
12203;Lidl;Hindenburgdamm 94
12203;Rewe City;Hindenburgdamm 59-60
12205;Edeka Küther;Drakestraße 28
12205;Nahkauf;Drakestraße 33a
12207;Nahkauf;Celsiusstraße 66
12209;Aldi;Lankwitzer Straße 19
12209;Bio Company;Ferdinandstraße 34
12209;Rewe;Lankwitzer Straße 19
12247;Nahkauf;Leonorenstraße 99
12247;Netto Marken-Discount;Kaiser-Wilhelm-Straße 11
12249;Nahkauf;Dessauerstraße 64
12277;Lidl;Malteserstraße 162/164
12279;Aldi;Hildburghauser Straße 3
12305;Norma;John-Locke-Straße NA
12305;Penny;Lichtenrader Damm 83
12347;Edeka;Britzer Damm 55-59
12347;Penny;Britzer Damm 73
12349;Rewe;Buckower Damm 50
12351;Nahkauf;Hirtsieferzeile 42-43
12351;Oil & Vinegar Berlin Neukoelln;Johannisthaler Chaussee 317
12353;Aldi;Joachim-Gottschalk-Weg 5
12353;Edeka;Joachim-Gottschalk-Weg 23
12353;Lidl;Lipschitzallee 50
12357;denn's Biomarkt;Alt-Rudow 24
12359;Aldi;Fritz-Reuter-Allee 184
12359;Frostkauf;Fritz-Reuter-Allee 180A
12435;Aldi;Kiefholzstraße 49
12435;Netto Marken-Discount;Am Treptower Park 40
12435;Real;Am Treptower Park 14
12435;Rewe;Kiefholzstraße 50
12437;Edeka;Baumschulenstraße 31
12437;NA;Köpenicker Landstraße 294
12437;Reformhaus Mörike;Baumschulenstraße 15-16
12439;Kaufland;Schnellerstraße NA
12439;NA;Schnellerstraße 131
12439;Russische Lebensmittel Christina;Brückenstraße 5
12459;Aldi;Rummelsburger Straße 16
12459;Lidl;Wilhelminenhofstraße 83-85
12459;Penny;Wilhelminenhofstraße 89A
12459;Rewe;Rummelsburger Straße 16
12487;Netto Marken-Discount;Sterndamm 33
12487;Penny;Eisenhutweg 93
12489;Kaufland;Rudower Chaussee 12
12489;Norma;Wassermannstraße 97
12489;denn's Biomarkt;Adlergestell 259
12524;Edeka;Ehrenfelder Platz 3
12524;Netto Marken-Discount;Bruno-Taut-Straße 8
12524;Rewe;Bruno-Taut-Straße 1
12526;Edeka;Buntzelstraße 14
12555;Kaufland;Friedrichshagener Straße 38
12555;Netto Marken-Discount;Kaulsdorfer Straße 140
12555;Weltladen Köpenick;Bahnhofstraße 9
12557;Edeka;Wendenschloßstraße 324
12587;Alnatura;Bölschestraße 63
12587;Bio Company;Bölschestraße 2
12587;Edeka Bölschestraße;Bölschestraße 36
12589;Edeka Leher;Fürstenwalder Allee 314
12619;Edeka;Hellersdorfer Straße 83
12619;Penny;Hellersdorfer Straße 77-83
12621;Aldi;Alt-Kaulsdorf 64
12621;Rewe;Alt-Kaulsdorf 64
12621;nako naturmarkt;Ulmenstraße 89
12627;Edeka;Riesaer Straße 102
12627;NP;Kastanienallee 8
12627;Norma;Quedlinburger Straße 31
12629;Edeka;c(13.5901733, 52.5383977) 1628715657
12679;Rewe;Marzahner Promenade 1
12681;Kaufland;Märkische Allee 166, 168, 172
12681;Lidl;Märkische Allee 140A
12681;Rewe;Helene-Weigel-Platz 1
12683;Bio Company;Weißenhöher Straße 108
12683;Kaufland;NA 88 - 108
12683;Rewe;Oberfeldstraße 138
12685;Grüne Geiß;Allee der Kosmonauten 151
12685;Rewe;Allee der Kosmonauten 196
12687;Netto;Mehrower Allee 20
12687;Rewe;Mehrower Allee 20
12689;Netto Marken-Discount;Rabensteiner Straße 36
12689;Netto;Wittenberger Straße 76
12689;Rewe;Havemannstraße 12a
13051;Kefan;Zingster Straße 6
13051;Rewe;Ribnitzer Straße 26
13055;NP-Markt;Werneuchener Straße 31
13055;Netto Marken-Discount;Weißenseer Weg 37
13057;R-Markt;Warnitzer Straße 20
13086;Edeka;Pistoriusstraße 112-114
13088;Edeka;Berliner Allee 100
13088;denn's Biomarkt;Bizetstraße 17-19
13089;Netto Marken-Discount;Prenzlauer Promenade NA
13089;Netto Marken-Discount;Rothenbachstraße 2
13125;Kaufland;Walter-Friedrich-Straße 4
13125;Lidl;Blankenburger Chaussee 10
13125;Netto Marken-Discount;Hubertusdamm 64-65
13125;Rewe;Hubertusdamm 56
13125;Zaubernuss Naturkost;Walter-Friedrich-Straße 6
13127;Rewe;Hauptstraße 70
13127;denn's Biomarkt;Rosenthaler Weg 78
13158;Edeka;Hauptstraße 23
13187;Kaufland;Breite Straße 20
13187;Norma;Tiroler Straße 28
13187;Tante Emma, Lebensmittelladen;Florastraße 24
13189;Aldi;Neumannstraße 13
13189;Lidl;Berliner Straße 27-28
13189;Mitte Meer;Prenzlauer Promenade 192
13189;Rewe;Eschengraben 47
13189;Rewe;Neumannstraße 13
13189;Tilia Naturkost;Berliner Straße 101a
13189;denn's Biomarkt;Prenzlauer Promenade 192
13347;Bolu;Reinickendorfer Straße 108
13347;Lidl;Reinickendorfer Straße 41
13347;NA;Reinickendorfer Straße 16
13347;Netto Marken-Discount;Oudenarder Straße 14
13347;Penny;Reinickendorfer Straße 83
13349;Aldi;Müllerstraße 128
13349;Elmas;Müllerstraße 128A
13349;Kaufland;Müllerstraße 123-125
13349;Real;Müllerstraße 47
13353;Bio Company;Müllerstraße 141
13353;Bolu;Müllerstraße 35
13353;NA;Müllerstraße 10
13353;NA;Sprengelstraße 37
13353;Ozgür Market;Müllerstraße 38
13353;Penny;Müllerstraße 40
13353;Perfetto;Müllerstraße 25
13353;Rewe;NA NA
13353;Vinh-Loi Asien-Supermarkt;Müllerstraße 40
13353;denn‘s Biomarkt;Müllerstraße 34
13355;Kaufland;Brunnenstraße 105-109
13355;Nah und Gut Zahl;Ackerstraße 117
13357;Bolu;Badstraße 59
13357;Eurogida;Badstraße 9
13357;Lidl;Badstraße 60
13357;Rewe;Badstraße 57
13359;Norma;Drontheimer Straße 32-32a
13359;Penny;Prinzenallee 55-56
13359;Punjab Foods Afro Shop;Tromsöer Straße 6
13403;Edeka;Quäkerstraße 2
13403;Intermarkt;Kienhorststraße 156
13405;NP;Scharnweberstraße 100
13409;Bolu;Residenzstraße 31
13409;Edeka Residenzstraße;Residenzstraße 34
13435;Edeka;Wilhelmsruher Damm 231
13435;NP;Eichhorster Weg NA
13439;Eurogida;Wilhelmsruher Damm 129
13439;Kaufland;Senftenberger Ring 15
13439;Netto Marken-Discount;Senftenberger Ring 13
13465;Reformhaus Demski;Ludolfingerplatz 1a
13465;Reformhaus Demski;Welfenallee 1
13467;Edeka;Hohefeldstraße 21
13467;NA;Heinsestraße 46
13469;Edeka;Oraniendamm 6-10
13469;Netto Marken-Discount;Oraniendamm 6-10
13503;Penny;Ruppiner Chaussee 221
13507;Edeka;Berliner Straße 96
