plz	supermarkt	adresse	nr	lat	lon	id
	Coop	Corso Aldo Gastaldi		44.4042804	8.9673068	390368166
	Coop			43.5465380	10.3310225	391789366
	LD Market			44.4262458	8.9459324	392262663
	Eurospin			42.8132167	12.9142786	392731639
25010				45.8131026	10.7919007	393013555
				45.8099425	10.7919032	393013560
39040	Cooperativa - Konsumverein	Via Trento - Trientstraße	4	46.2414913	11.2098275	394031677
39040	Despar	Via Nazionale - Staatsstraße	1/F	46.2421683	11.2098816	394032493
	Pam			45.9652188	12.6442297	395566360
25010				45.8118728	10.7870630	401249252
	Carrefour	Via Giustetto	51	44.8837177	7.3002396	403270366
				44.3602170	8.5833698	408397981
20123	Auchan	Corso Genova	19	45.4568575	9.1752873	408783080
	D+			44.4028695	8.9377830	409132660
	Conad	Via Corsica	1a	44.4021178	8.9372867	409132661
	Simply Market			44.4050911	8.9768058	410869504
	GS			38.0828752	13.4310875	412327698
	Conad			44.5885429	11.3675284	412437085
	Il mercato di Livorno			43.5507399	10.3396339	412745767
20093	Carrefour	Corso Roma	19	45.5294580	9.2793455	414034591
22018	Carrefour Market	Via Osteno	1	46.0368341	9.1261135	414179148
	Famiglia Cooperativa			46.3519597	10.6930817	414988155
	Carrefour Express	Via Guglielmo Marconi	33	46.0222999	8.6839586	415370054
	A&O			41.1316041	16.5474598	416664040
	Supergulliver			44.4260037	8.7940242	417348642
	Lidl			42.4669783	14.1856591	418265784
	Coal			42.4830391	14.1952509	418372882
	Spar			45.4367153	12.4401081	418721996
	Puntagialla			45.4375308	12.4374332	418722065
	Oasi			43.5120921	13.2274222	418771259
	inCOOP			44.3349547	9.2095082	418822895
	Golmarket			46.6689334	11.5982793	420205285
	Penny			45.7308097	9.5086602	420273685
	Penny			43.9815701	10.5502224	420545292
				46.1521112	12.2138436	420815603
65015	Ecco	Corso Umberto I	32	42.5169088	14.1477917	421311485
	Panorama			41.2672401	13.6725382	422564593
				45.9713881	13.1950568	423443940
	Conad City			46.0479010	11.1454301	424687825
	Supermercato Serafini			45.8181266	13.1317449	424794561
	LIDL			45.6566166	13.7818544	424836041
22063	Bennet	Corso Europa	23	45.7351014	9.1141188	425347942
				40.0201512	16.1389751	426156721
	Market Darsena			45.6934642	13.1481411	426680794
	Europa			45.5389798	12.6351209	426915092
	DeSpar			46.0357147	10.8733134	427524201
38018	Central Market	Via Paganella	1	46.1427735	10.9665101	427547582
38122		Largo Medaglie d'Oro		46.0579964	11.1326139	427941699
	Supermercati Dok			41.2310321	16.2993871	427960261
	Coop Superstore	Via Alcide Degasperi	1	46.0445635	11.1296069	427963799
				37.6881678	15.1446234	428273213
	Punto SMA			45.4538112	9.1548875	428788758
	Carrefour Express			45.4583217	9.1530256	428788862
65015		Via Giuseppe Verrotti	5/2	42.5100359	14.1543377	428889213
	Despar			45.7712062	13.3671258	429232930
20121	Superpolo	Largo La Foppa	1	45.4783800	9.1843080	429422743
57121	PAM Superstore	Piazza Giuseppe Saragat	10/2	43.5631460	10.3264849	429784404
	Schlecker		77	45.0702818	11.7739327	430052705
	Sma	Corso Umberto I		42.5114071	14.1564093	430610427
	Carrefour Express			44.4146509	8.9336317	430866612
	Famiglia Cooperativa			46.0406050	11.1330849	431475184
	Conad			45.4441346	9.2224387	432821700
	Sisa			41.1329465	16.5454514	434387720
	Supermercato Montagner Sas	Largo Centro Commerciale	10	45.4971870	12.6216243	436892894
30016	Famila	Via Equilio	19	45.5085766	12.6360027	436892897
38122	Poli	Via Benedetto Giovanelli	31	46.0643926	11.1314183	437294984
